timestamp,model,latency,response_length
1767589670.9917705,llama,1.391,368
1767589675.734474,chatgpt,6.139,317
1767589688.9074888,gemini,19.309,64
1767589704.2113078,llama,0.281,368
1767589707.4670727,chatgpt,3.542,317
1767589721.7630332,gemini,17.835,64
1767589788.929464,llama,0.29,368
1767589789.8294942,gemini,1.2,64
1767589791.9610128,chatgpt,3.334,317
1767590358.9642746,llama,0.315,368
1767590360.0297883,gemini,1.383,32
1767590362.071848,chatgpt,3.427,317
1767590644.367942,gemini,1.275,32
1767590645.302,llama,2.205,95
1767590646.4219449,chatgpt,3.331,317
1767591855.723259,chatgpt,3.785,317
1767591856.4601965,llama,4.518,1262
1767591871.7337036,gemini,19.795,6369
1767592030.3975203,chatgpt,3.589,317
1767592031.796202,llama,4.98,1045
1767592049.4742103,gemini,22.664,7369
